Author,Birth,Death
albeniz,1860,1909
albinoni,1671,1751
albrechtsberger,1736,1809
alkan,1813,1888
anglebert,1629,1691
bach-js,1685,1750
bartok,1881,1945
beethoven,1770,1827
berlioz,1803,1869
bizet,1838,1875
brahms,1833,1897
bruckner,1824,1896
busoni,1866,1924
buxtehude,1637,1707
byrd,1543,1623
chopin,1810,1849
clementi,1752,1832
couperin,1668,1733
cramer,1771,1858
dandrieu,1682,1738
debussy,1862,1918
desprez,1450,1521
dowland,1563,1626
dufay,1397,1474
dvorak,1841,1904
faure,1845,1924
franck,1822,1890
frescobaldi,1583,1643
froberger,1616,1667
gabrieli's,1557,1612
gershwin,1898,1937
gesualdo,1566,1613
godowsky,1870,1938
gottschalk,1829,1869
grieg,1843,1907
guilmant,1837,1911
handel,1685,1759
haydn,1732,1809
hindemith,1895,1963
janacek,1854,1928
joplin,1868,1917
karg-elert,1877,1933
lasso,1532,1594
liszt,1811,1886
lully,1632,1687
mahler,1860,1911
medtner,1880,1951
mendelssohn,1809,1847
messiaen,1908,1992
monteverdi,1567,1643
morales,1500,1553
mozart,1756,1791
mussorgsky,1839,1881
pachelbel,1653,1706
paganini,1782,1840
palestrina,1525,1594
prokofiev,1891,1953
rachmaninov,1873,1943
rameau,1683,1764
ravel,1875,1937
reger,1873,1916
respighi,1879,1936
saint-saens,1835,1921
satie,1866,1925
scarlatti,1685,1757
scheidt,1587,1654
schoenberg,1874,1951
schubert,1797,1828
schumann,1810,1856
scriabin,1872,1915
shostakovich,1906,1975
stravinsky,1882,1971
tchaikovsky,1840,1893
telemann,1681,1767
victoria,1548,1611
vivaldi,1678,1741
zipoli,1688,1726
